park,latitude,longitude,region
Ryan Park,49.134866,-116.031483,ok
Saltery Bay Park,49.782818,-124.191254,south
Sandwell Park,49.184605,-123.816139,west
Sargeant Bay Park,49.478641,-123.863974,south
Sasquatch Park,49.358628,-121.701821,south
Saysutshun (Newcastle Island Marine) Park,49.189385,-123.935646,west
Schoen Lake Park,50.186889,-126.252932,west
Sechelt Inlets Marine Park,49.707707,-123.78373,south
Seeley Lake Park,55.198087,-127.688284,north
Seven Sisters Protected Area,54.938144,-128.178841,north
Shannon Falls Park,49.666394,-123.162099,south
Shuswap Lake Marine Park,51.023481,-119.029,tc
Shuswap Lake Park,50.908014,-119.438283,tc
Silver Beach Park,51.235759,-118.940548,tc
Silver Lake Park,49.315648,-121.413248,south
Silver Star Park,50.374723,-119.102077,ok
Skagit Valley Park,49.091946,-121.121229,south
Skaha Bluffs Park,49.433939,-119.54611,ok
Skihist Park,50.252174,-121.511525,tc
Skookumchuck Narrows Park,49.741221,-123.909369,south
Smelt Bay Park,50.031322,-124.99227,west
Smuggler Cove Marine Park,49.515626,-123.96076,south
Sooke Potholes Park,48.428822,-123.712421,west
Sowchea Bay Park,54.419821,-124.449854,north
Spatsizi Plateau Wilderness Park,57.671286,-128.655677,north
Spider Lake Park,49.343235,-124.632005,west
Sproat Lake Park,49.291952,-124.928306,west
Squitty Bay Park,49.451643,-124.165379,west
St. Mary's Alpine Park,49.876176,-116.329355,ok
Stagleap Park,49.060149,-117.044753,ok
Stamp River Park,49.340598,-124.924821,west
Stawamus Chief Park,49.682996,-123.138434,south
Steelhead Park,50.756911,-120.865875,tc
Stein Valley Nlaka'pamux Heritage Park,50.247817,-122.063918,tc
Stemwinder Park,49.370825,-120.13686,ok
Stikine River Park,58.000465,-128.691394,north
Stone Mountain Park,58.585921,-124.764074,north
Strathcona Park,49.837629,-125.619105,west
Sugarbowl-Grizzly Den Park,53.811366,-121.59045,north
Summit Lake Park,50.15626,-117.654022,ok
Sun-Oka Beach Park,49.5647,-119.632381,ok
Swan Lake Kispiox River Park,55.889537,-128.564875,north
Swan Lake Park,55.526734,-120.029269,north
swiws Park,49.014509,-119.455872,ok
Sxotsaqel / Chilliwack Lake Park,49.089373,-121.455619,south
sx̌ʷəx̌ʷnitkʷ (Okanagan Falls) Park,49.340774,-119.580983,ok
Syringa Park,49.341783,-117.874012,ok
Ta Ch'ila Park [a.k.a. Boya Lake Park],59.368268,-129.106906,north
Tantalus Park,49.829922,-123.304387,south
Tatlatui Park,56.97977,-127.365922,north
Taylor Arm Park,49.275567,-125.044839,west
Teakerne Arm Park,50.201235,-124.843507,south
Ten Mile Lake Park,53.070389,-122.445381,tc
Tetrahedron Park,49.59279,-123.602493,south
Top of the World Park,49.849149,-115.398208,ok
Tribune Bay Park,49.528494,-124.644989,west
Ts'il?os Park,51.187451,-124.009464,tc
Tudyah Lake Park,55.062382,-123.033737,north
Tunkwa Park,50.617274,-120.883198,tc
Tweedsmuir Park,52.592306,-126.077993,tc
Tyhee Lake Park,54.706009,-127.037826,north
Valhalla Park,49.877853,-117.571272,ok
Vaseux Lake Park,49.297884,-119.529898,ok
Wakes Cove Park,49.123459,-123.701987,west
Wallace Island Marine Park,48.942073,-123.550833,west
Walloper Lake Park,50.479805,-120.537109,tc
Walsh Cove Park,50.273209,-124.794443,south
Wasa Lake Park,49.792066,-115.739281,ok
Weewanie Hot Springs Park,53.698625,-128.784801,north
Wells Gray Park,52.38214,-120.117401,tc
West Lake Park,53.73448,-122.862947,north
West Shawnigan Lake Park,48.641258,-123.650498,west
Whiskers Point Park,54.905454,-122.936626,north
White Lake Park,50.890994,-119.262844,tc
Whiteswan Lake Park,50.120438,-115.545638,ok
Yaaguun Suu Conservancy,53.346741,-132.65596,west
Yahk Park,49.079807,-116.096941,ok
Yard Creek Park,50.899031,-118.815257,tc
Glacier National Park of Canada,51.335289,-117.5297595,np
Kootenay National Park of Canada,50.9769367,-115.9592102,np
Mount Revelstoke National Park of Canada,51.0926042,-118.0422245,np
Pacific Rim National Park Reserve of Canada,48.7919313,-125.156359,np
Yoho National Park of Canada,51.4666667,-116.5833333,np
